"model","n.trees","interaction.depth","shrinkage","cv.folds","training_time","rmse_cv","mae_cv","mae","mae/mean"
"gbm","100","3","0.01","10","1.45045586427053","520.586231378376","361.919807054903","0","0.206533121788577"
"gbm","200","3","0.01","10","2.4597585995992","470.202922655845","327.235200061663","0","0.186740007345307"
"gbm","400","3","0.01","10","4.59407376448313","428.630863349872","296.310521320151","0","0.169092533191387"
"gbm","800","3","0.01","10","9.11148026386897","391.68972576135","267.411377776686","0","0.152600950755992"
"gbm","1600","3","0.01","10","17.5272362828255","361.68041257425","244.077821853483","0","0.139285426009052"
"gbm","100","1","0.001","10","0.638474249839783","655.924115592613","468.311596254945","0","0.267246649834926"
"gbm","200","1","0.001","10","1.01248033444087","639.602703991547","453.233182539422","0","0.258642003734929"
"gbm","400","1","0.001","10","1.90646288394928","612.731555675696","429.617988043545","0","0.24516575914758"
"gbm","800","1","0.001","10","3.20781794786453","575.073510667402","399.610425919791","0","0.228041646673284"
"gbm","1600","1","0.001","10","6.25881368319193","532.925491722773","368.700943949662","0","0.210402844707439"
